X,Y,OBJECTID,Trail_ID,Trail_Name,Park_Name_Short,Park_Name,Park_Name_Full,Blaze_Color_Full,Blaze_Color_Short,Base_Color,Cap_Color,Dot_Color,Dash_Color,Image_Link,Mileage,Difficulty,Configuration,Surface,Service_Road,GlobalID,Trail_Status,SHAPE_Length
-79.6959134599251,40.6547358494358,"24292",HH42503,Intra Park Connector,HH,Harrison Hills,Harrison Hills,,,,,,,,"0.03247233",Easy-Moderate,<Null>,Dirt,"0",{AEF92337-C2FE-435C-82A7-B6FEDF98A62E},Active,"0.000589637402882848"
-79.6998989265,40.6589130305,"24293",HH45251,Yakaon Shelter - Red Trail Access,HH,Harrison Hills,Harrison Hills,,,,,,,,"0.33491327",Moderate,<Null>,,"0",{6B399447-EEBD-409E-B481-2FD6679B0CD3},Active,"0.00560741844209445"
-79.6978279243758,40.6513808612409,"24294",HH42936,,HH,Harrison Hills,Harrison Hills,<Null>,<Null>,,,,,<Null>,"0.2936023",,<Null>,,,{16A69DB4-A2E0-476A-AD56-0CA3ACC2581E},Active,"0.00500858046994214"
-79.6957108888116,40.6480933391714,"24295",HH4769,,HH,Harrison Hills,Harrison Hills,<Null>,<Null>,,,,,<Null>,"0.0926918",Easy,<Null>,Dirt,"0",{D882E84B-F64D-4F67-B549-4DDCC3D50E5D},Active,"0.00138306662862296"
-79.7034225806839,40.6518121544543,"24296",HH42941,Red,HH,Harrison Hills,Harrison Hills,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,"5.42926024",Difficult,Complete Loop,Dirt,,{6943F47F-5FE6-4744-A85A-72C4F160606C},Active,"0.0904700149392183"
-79.6970216979004,40.6570416239791,"24296",HH42941,Red,HH,Harrison Hills,Harrison Hills,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,"5.42926024",Difficult,Complete Loop,Dirt,,{6943F47F-5FE6-4744-A85A-72C4F160606C},Active,"0.0904700149392183"
-79.6969337725,40.6570395770001,"24296",HH42941,Red,HH,Harrison Hills,Harrison Hills,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,"5.42926024",Difficult,Complete Loop,Dirt,,{6943F47F-5FE6-4744-A85A-72C4F160606C},Active,"0.0904700149392183"
-79.6995394491302,40.6617401170578,"24296",HH42941,Red,HH,Harrison Hills,Harrison Hills,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,"5.42926024",Difficult,Complete Loop,Dirt,,{6943F47F-5FE6-4744-A85A-72C4F160606C},Active,"0.0904700149392183"
-79.7025450249972,40.6595315588537,"24297",HH42944,,HH,Harrison Hills,Harrison Hills,,,,,,,,"0.03672158",Easy,<Null>,Grass,,{35834D10-8781-439D-B88F-8A0377F28D4D},Active,"0.000594555314694273"
-79.7015251119492,40.6590793757143,"24298",HH42945,,HH,Harrison Hills,Harrison Hills,,,,,,,,"0.19233533",Easy-Moderate,<Null>,Grass,,{EF5ADEF4-095D-4793-AED0-93666C738A18},Active,"0.00328984417990381"
-79.6972978314621,40.6492711143837,"24299",HH42937,,HH,Harrison Hills,Harrison Hills,<Null>,<Null>,,,,,<Null>,"0.06915498",,<Null>,,,{D51A4956-49F4-4572-84CA-62B5338B21B4},Active,"0.00111769575110609"
-80.1593298317556,40.4359776074607,"24300",SC4781,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.16435434",,<Null>,,,{644A808B-5E7E-4B12-A7E3-D10ABA7A7692},Active,"0.00268550040232124"
-80.168273202,40.423372529,"24302",SC4815,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.03084151",,<Null>,,,{557464E7-B3B8-4813-8BCB-F74B2F5DE941},Active,"0.000477078293015923"
-80.1559198345641,40.4202855402965,"24303",SC4817,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.07364231",Easy,<Null>,Dirt,,{AB0E5025-0977-40C6-AA63-DEEC3B4ABCAB},Active,"0.00128945675811819"
-80.1559161588904,40.4203033686624,"24303",SC4817,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.07364231",Easy,<Null>,Dirt,,{AB0E5025-0977-40C6-AA63-DEEC3B4ABCAB},Active,"0.00128945675811819"
-80.1563379713942,40.4205797921812,"24303",SC4817,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.07364231",Easy,<Null>,Dirt,,{AB0E5025-0977-40C6-AA63-DEEC3B4ABCAB},Active,"0.00128945675811819"
-80.1675118792732,40.4228111965969,"24304",SC4818,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.09793224",,<Null>,,,{57651436-DCAD-4495-85A1-710E98C70441},Active,"0.00162224867355561"
-80.1596097937451,40.4352227779334,"24308",SC4824,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.02184638",,<Null>,,,{A56F0A54-8325-499B-A61B-E56233E61DB7},Active,"0.000330884500969864"
-80.1575878165,40.433088071,"24310",SC4829,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.02385404",,<Null>,,,{FAD9DA62-AD43-42C8-9600-DAFF3FD93A3D},Active,"0.000366577300266469"
-80.1605029295233,40.4179365256064,"24313",SC4903,Panhandle Connector Trail,SC,Settlers Cabin,Settlers Cabin,Gravel or Paved Trail/Road,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,"0.68022883",Moderate-Difficult,Point to Point,Asphalt,"0",{296C570C-A51E-4268-B3F8-68756054F281},Active,"0.0103204899577926"
-80.159926841,40.4272347435,"24315",SC8177,Blue,SC,Settlers Cabin,Settlers Cabin,Blue,BL,Blue,,,,https://apps.alleghenycounty.us/GIS/BLUEbase.png,"1.83884857",Easy-Moderate,Complete Loop,,,{9E9337CE-A67E-4247-B8DF-3E8FFF32C100},Active,"0.0294301836103798"
-80.1625871700234,40.4230359018295,"24316",SC13239,Red,SC,Settlers Cabin,Settlers Cabin,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,"0.25563347",Easy-Moderate,Access Trail,Dirt,,{D2886387-21D5-4016-8FEE-BBEF9D1431C5},Active,"0.00453434070036217"
-80.1552009855,40.4250270650001,"24317",SC4831,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.08273366",,<Null>,,,{CB6D58DC-C49C-4D1C-B7BE-3856826B8444},Active,"0.00130983742301802"
-80.1566909727107,40.4208227873597,"24353",SC13274,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.02936765",Moderate,<Null>,Dirt,,{8432C1B0-1E10-4813-943E-80D333138227},Active,"0.000465066639476189"
-80.1563081424362,40.4225342346003,"24355",SC20334,Waterfall Trail,SC,Settlers Cabin,Settlers Cabin,Green,GN,Green,,,,https://apps.alleghenycounty.us/GIS/GREENbase.png,"0.43805328",Moderate,Access Trail,Dirt,,{9F8CDFF8-1A86-4717-90B1-F19223099ACF},Active,"0.00721427684872671"
-80.1601945909999,40.419834034,"24356",SC20336,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.00619351",Easy-Moderate,<Null>,Dirt,,{F9791696-A629-4548-A9DE-218F83A21407},Active,"0.000115973730075494"
-80.1594246427159,40.4164597738124,"24357",SC21544,Purple - Deblazed,SC,Settlers Cabin,Settlers Cabin,<Null>,<Null>,,,,,<Null>,"0.76772528",Moderate,<Null>,Dirt,,{8940CB07-DECD-4069-930D-85E4EC22308E},Active,"0.0125113762159123"
-80.1588799569653,40.4161381045,"24358",SC8008,Yellow,SC,Settlers Cabin,Settlers Cabin,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,"1.52416034",Easy-Moderate,Complete Loop,Dirt,,{C968C6AF-8C26-4B6E-821A-5374E9328332},Active,"0.024686734643054"
-80.158241589271,40.4129432886848,"24359",SC30392,,SC,Settlers Cabin,Settlers Cabin,,,,,,,,"0.03359312",Easy,<Null>,Dirt,,{939DFC1F-B946-4FE7-8FC7-65BE8D093A62},Active,"0.000550542526943069"
-80.1657382539999,40.4217743200001,"24360",SC30409,Red,SC,Settlers Cabin,Settlers Cabin,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,"6.59268313",Moderate,Complete Loop,Dirt,"0",{C313806E-AEF1-49EA-8227-3E57354A63BE},Active,"0.106788114052694"
-80.1659472019698,40.4217167784629,"24360",SC30409,Red,SC,Settlers Cabin,Settlers Cabin,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,"6.59268313",Moderate,Complete Loop,Dirt,"0",{C313806E-AEF1-49EA-8227-3E57354A63BE},Active,"0.106788114052694"
-80.1563157704999,40.4259159375001,"24360",SC30409,Red,SC,Settlers Cabin,Settlers Cabin,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,"6.59268313",Moderate,Complete Loop,Dirt,"0",{C313806E-AEF1-49EA-8227-3E57354A63BE},Active,"0.106788114052694"
-80.1680327231161,40.4252109943316,"24362",SC44964,Old Red  (De-Blazed May/June) 2022,SC,Settlers Cabin,Settlers Cabin,<Null>,,,,,,,"0.25099937",Easy,<Null>,Dirt,"0",{CD940145-6406-4C1E-B15B-B0D8FB13A386},Active,"0.00382470937372537"
-80.1574638650176,40.418289682018,"24367",SC45387,Green,SC,Settlers Cabin,Settlers Cabin,Green,GN,Green,,,,https://apps.alleghenycounty.us/GIS/GREENbase.png,"1.29974959",Moderate-Difficult,Complete Loop,,,{52FA4CE7-74E9-4849-A84D-8EB8DCB20922},Active,"0.0208618888965893"
-79.7422034808311,40.4725104481453,"24368",BP13052,,BP,Boyce,Boyce Park,,,,,,,,"0.03755266",Easy-Moderate,<Null>,Dirt,,{84B0B9B5-8874-475C-B04E-0522799BB1B3},Active,"0.000577296809422054"
-79.740509395515,40.4719184000751,"24369",BP4976,,BP,Boyce,Boyce Park,,,,,,,,"0.14686635",,<Null>,,,{34226E3F-3E13-4C9C-AA13-F7A5B03869D6},Active,"0.00241322063635667"
-79.7407368618288,40.4725725401739,"24369",BP4976,,BP,Boyce,Boyce Park,,,,,,,,"0.14686635",,<Null>,,,{34226E3F-3E13-4C9C-AA13-F7A5B03869D6},Active,"0.00241322063635667"
-79.740748836,40.4725820095,"24369",BP4976,,BP,Boyce,Boyce Park,,,,,,,,"0.14686635",,<Null>,,,{34226E3F-3E13-4C9C-AA13-F7A5B03869D6},Active,"0.00241322063635667"
-79.7402674373894,40.4720188190397,"24370",BP4977,,BP,Boyce,Boyce Park,,,,,,,,"0.19932805",,<Null>,,,{5BCB27FB-548B-47A2-9A84-B2625364B328},Active,"0.00335928769322221"
-79.7391375211467,40.4692965026522,"24371",BP4978,,BP,Boyce,Boyce Park,,,,,,,,"0.02038742",,<Null>,,,{6F01CF6F-8077-4F28-B89E-3B1F381B0F05},Active,"0.000378537791346011"
-79.7388930923943,40.4689492117952,"24372",BP4980,,BP,Boyce,Boyce Park,,,,,,,,"0.01848631",,<Null>,,,{01BF2B16-1585-47B4-B37E-2D2052E28F14},Active,"0.000297894971152376"
